"Subject"	"Date"	"Condition"	"Game"	"Request"	"Calls"	"callsyesno"	"intercepted"	"Location_filter"	"Season"	"Enjoy_Game"	"Finish"	"Game_Freq"	"Enjoy_Type"	"Interested"	"Distressed"	"Excited"	"Upset"	"Strong"	"Gulty"	"Scared"	"Hostile"	"Enthusiastic"	"Proud"	"Irritable"	"Alert"	"Ashamed"	"Inspired"	"Nervous"	"Determined"	"Attentive"	"Jittery"	"Active"	"Afraid"	"Gender"	"Purpose"	"Pos_Affect"	"Neg_Affect"	"Purpose_Qual"	"like"
130	2014-10-06 15:20:04	6	3	2	5	1	1	2	3	1	2	1	1	1	3	1	2	1	1	1	1	1	1	4	2	1	1	1	2	3	3	3	1	1	1	16	18	"To evaluate my emotions while playing the video game."	2
131	2014-10-06 15:26:20	5	2	2	5	1	1	2	3	3	1	5	4	3	2	3	4	3	3	2	4	1	1	2	3	2	1	2	1	2	1	1	2	2	2	19	24	""	7
132	2014-10-06 16:26:43	4	1	2	0	0	1	2	3	2	2	4	3	4	3	3	1	3	1	1	1	3	2	1	4	1	1	1	2	4	2	2	1	2	1	28	13	"to show how video games can cause a change in emotions"	5
133	2014-10-07 17:21:05	3	3	1	20	1	1	2	3	5	2	2	5	4	3	1	1	2	1	1	1	2	3	1	2	1	2	1	4	3	2	3	1	2	2	26	13	""	10
134	2014-10-08 15:18:46	2	2	1	0	0	1	2	3	4	1	5	2	4	2	4	1	2	1	1	1	1	2	1	3	1	1	2	1	2	2	2	1	2	1	22	13	"The purpose of this study was to see if playing a violent game would affect my mood"	6
135	2014-10-08 16:29:07	1	1	1	0	0	1	2	3	4	2	5	3	3	1	2	1	2	1	1	1	2	3	1	3	1	1	1	2	3	1	2	1	2	2	23	10	""	7
136	2014-10-08 16:59:25	6	3	2	0	0	1	2	3	4	2	2	4	4	2	4	1	4	1	1	1	3	2	4	4	1	4	2	5	5	3	3	1	2	1	38	17	"To see how my emotions were during the game play and see if i enjoyed it"	8
137	2014-10-08 17:57:52	5	2	2	10	1	1	2	3	4	2	1	2	4	1	3	2	3	1	1	1	3	5	2	5	1	1	1	5	5	2	3	1	1	2	37	13	""	6
138	2014-10-09 16:53:12	4	1	2	0	0	1	2	3	3	1	2	3	2	3	2	1	2	1	1	1	1	1	3	1	1	1	2	2	2	1	2	1	1	1	16	15	"To understand how video games make people feel and how video games affect our emotions in general."	6
139	2014-10-10 13:52:29	3	3	1	NA	NA	0	2	3	4	2	4	4	3	1	3	1	3	1	1	1	3	2	1	3	1	1	1	2	3	1	2	1	2	2	25	10	""	8
140	2014-10-10 14:20:29	2	2	1	0	0	1	2	3	4	1	5	5	4	1	2	1	2	1	1	1	3	2	1	2	1	1	1	2	4	1	2	1	2	2	24	10	""	9
141	2014-10-10 14:52:37	1	1	1	0	0	1	2	3	1	1	2	1	2	3	1	2	3	2	1	1	2	2	3	3	1	3	1	2	2	1	3	1	1	2	23	16	""	2
142	2014-10-13 15:22:34	6	3	2	0	0	1	2	3	2	2	1	1	1	2	1	1	1	2	2	1	1	1	2	3	1	1	3	2	2	2	2	2	1	2	15	18	""	3
143	2014-10-13 15:26:46	5	2	2	0	0	1	2	3	5	2	3	4	2	1	2	1	1	1	1	2	1	1	1	4	1	1	1	1	3	3	3	1	2	2	19	13	""	9
144	2014-10-13 16:22:27	4	1	2	0	0	1	2	3	2	1	2	3	3	3	1	2	1	1	1	1	2	1	3	2	1	1	2	4	3	4	2	1	2	2	20	19	""	5
145	2014-10-13 16:49:43	3	3	1	0	0	1	2	3	4	2	2	2	4	3	4	1	3	1	1	2	2	1	1	5	1	1	2	5	5	4	2	2	1	1	32	18	"To see if the game creates aggression or anger. Maybe to see if the game causes people to want to do real-life shootings?"	6
146	2014-10-14 16:58:51	2	2	1	2	1	1	2	3	4	1	7	4	4	1	4	1	3	1	1	1	4	1	1	4	1	3	1	4	4	1	4	1	2	1	35	10	"What i saw was when we were playing the second level i feel the study was trying to see if we would shoot up the people. because the game says to follow the person but it doesnt say you have to shoot all the people. I feel its trying to see if certain per sonalities would shoot all the people or just follow."	8
147	2014-10-15 16:30:12	1	1	1	1	1	1	2	3	2	2	3	2	2	1	2	1	1	1	1	2	2	3	3	3	2	2	1	4	3	1	2	1	2	2	24	14	""	4
148	2014-10-15 17:27:49	6	3	2	0	0	1	2	3	2	1	5	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	2	1	13	10	"I believe the goal of this study is to find what affect violent video games has on the mind. Specifically why we feel joy from completing the violent acts."	6
149	2014-10-15 18:19:25	5	2	2	5	1	1	2	3	4	1	6	4	4	1	5	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	3	1	2	1	21	12	"The purpose was to see how violent video games may affect an individual's emotions."	8
150	2014-10-16 17:19:48	4	1	2	3	1	1	2	3	4	1	3	5	4	1	3	1	2	1	1	1	4	3	1	3	1	2	1	2	4	2	3	1	2	2	30	11	""	9
151	2014-10-17 13:13:57	3	3	1	0	0	1	2	3	3	2	4	2	4	1	3	2	1	1	1	1	3	1	2	2	1	1	1	2	3	1	3	1	2	2	23	12	""	5
152	2014-10-17 13:54:25	2	2	1	0	0	1	2	3	3	1	4	2	3	4	4	4	2	4	2	1	1	1	1	4	4	1	4	3	4	4	3	2	1	1	26	30	"To examine the correlation between video games and the emotions that are felt by the people playing the games."	5
153	2014-10-17 14:27:50	1	1	1	0	0	1	2	3	2	1	7	2	2	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	4	1	4	1	2	1	20	10	"Finding out the participant's emotions after playing a video game"	4
154	2014-10-17 14:56:53	6	3	2	0	0	1	2	3	1	2	1	1	1	2	1	1	1	1	1	1	1	1	4	2	1	1	1	1	1	1	1	1	1	2	11	14	""	2
155	2014-10-20 14:17:32	5	2	2	NA	NA	0	2	3	3	1	2	2	3	2	2	3	3	3	3	4	2	1	1	4	2	1	2	3	4	2	2	2	1	2	25	24	""	5
156	2014-10-20 14:51:51	4	1	2	0	0	1	2	3	4	2	4	3	3	1	3	1	2	1	1	1	3	2	4	2	1	1	1	3	1	2	3	1	2	2	23	14	""	7
157	2014-10-20 15:28:34	3	3	1	5	1	1	2	3	4	1	5	5	5	2	4	1	4	4	2	3	4	4	1	5	1	4	1	5	5	4	5	1	2	2	45	20	""	9
158	2014-10-20 15:53:11	2	2	1	10	1	1	2	3	4	1	6	5	4	2	3	1	3	1	1	1	3	3	1	3	1	1	1	3	3	1	3	1	2	1	29	11	"After the acclimation to the game, the mission chosen was \"No Russian.\" This mission was most likely chosen due to the fact of in the game you are in an airport and killing many airport passengers. The purpose of this study i believe was to tell if after  playing a violent video game as such, if the person who had taken part of the study was affected in any way given the feelings and emotions rati"	9
159	2014-10-20 16:29:05	1	1	1	0	0	1	2	3	1	2	5	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	3	1	1	1	2	2	14	11	""	2
160	2014-10-21 17:20:28	6	3	2	2	1	1	2	3	4	2	5	5	3	1	3	2	1	1	1	2	1	1	1	4	1	1	2	1	4	1	2	1	2	1	21	13	"How video games influenced and affected your emotions."	9
161	2014-10-22 15:30:06	5	2	2	0	0	1	2	3	4	1	5	2	5	2	3	1	3	2	1	1	1	1	1	5	2	1	1	3	5	4	4	1	2	1	31	16	"The study was intended to find out if playing video games has an affect on the human mind. Violent video games are chosen specifically for this study because they're the most controversial. There have been claims that violent games breed violent individua ls, so measuring emotions after this game is one way of discovering whether this is true."	6
162	2014-10-22 16:14:52	4	1	2	0	0	1	2	3	1	1	1	1	2	2	2	1	1	1	1	1	2	1	2	2	1	1	1	1	2	1	1	1	2	2	15	12	""	2
163	2014-10-22 16:51:19	3	3	1	5	1	1	2	3	2	2	1	1	1	1	1	1	1	1	1	3	1	1	1	2	1	1	1	2	2	1	1	1	1	2	13	12	""	3
164	2014-10-22 17:26:25	2	2	1	0	0	1	2	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	10	10	""	2
165	2014-10-22 17:52:17	1	1	1	0	0	1	2	3	2	1	5	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	13	10	"The effect of certain genres of video games and the emotions they invoke in the player."	3
166	2014-10-23 17:29:31	6	3	2	5	1	1	2	3	5	1	4	5	5	1	4	1	3	2	1	2	4	4	1	5	1	3	1	5	5	4	4	1	2	2	42	15	"N/A"	10
167	2014-10-27 14:49:14	5	2	2	0	0	1	2	3	4	1	3	5	4	2	3	1	2	1	2	1	2	1	1	5	1	1	3	3	5	1	3	1	2	2	29	14	""	9
168	2014-10-27 15:20:01	4	1	2	0	0	1	2	3	4	1	3	3	4	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	2	1	2	2	17	10	""	7
169	2014-10-27 15:47:24	3	3	1	10	1	1	2	3	4	1	2	5	4	3	4	3	3	2	2	2	3	4	4	4	3	3	2	4	4	3	4	2	2	2	37	26	""	9
170	2014-10-27 16:15:00	2	2	1	0	0	1	2	3	2	1	4	4	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	11	12	"A little bit, I think maybe the purpose was to see how peoples emotions are after playing a violent video game where your character is doing something that would go against most peoples morals: to determine i guess if you felt more hostile because of play ing the game im not entirely sure."	6
171	2014-10-27 16:47:28	1	1	1	0	0	1	2	3	3	1	3	4	4	3	4	2	3	1	1	2	4	3	2	5	1	4	3	5	5	4	5	1	1	2	42	20	""	7
172	2014-10-28 17:29:49	6	3	2	4	1	1	2	3	4	2	6	5	4	2	4	2	3	1	1	1	2	1	2	3	1	1	1	4	4	1	1	1	2	1	27	13	"I read the purpose of the experiment before I began playing the video game."	9
173	2014-10-29 15:44:01	5	2	2	0	0	1	2	3	3	1	3	2	3	2	2	1	1	3	1	3	1	1	1	4	1	1	1	2	4	2	1	1	1	1	20	16	"The purpose was to examine how a person feels feel while they play video games."	5
174	2014-10-29 16:25:15	4	1	2	0	0	1	2	3	1	1	3	1	1	3	2	4	3	1	1	2	2	3	3	2	1	1	1	5	4	1	3	1	1	1	26	18	"To view how i reacted to playing the video game. To also see what kind of emotions i would express while playing the video game."	2
175	2014-10-29 16:56:21	3	3	1	0	0	1	2	3	3	2	4	3	3	2	3	1	1	1	1	1	1	1	2	2	1	1	1	1	3	1	1	1	2	1	17	12	"The effect that violent video games has on mood and behavior."	6
176	2014-10-29 18:04:58	2	2	1	0	0	1	2	3	5	1	7	4	4	3	4	1	3	1	1	1	4	3	2	4	1	2	1	4	4	1	2	1	2	1	34	13	"the studys purpose was to examine the behavior after playing video games and how they affect mood."	9
177	2014-10-31 13:12:41	1	1	1	5	1	1	2	3	1	1	6	1	2	1	1	1	3	1	1	1	2	3	4	3	1	2	1	4	3	1	3	1	2	2	26	13	""	2
178	2014-10-31 13:56:53	6	3	2	0	0	1	2	3	3	2	1	1	2	2	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	13	12	""	4
179	2014-10-31 14:28:49	5	2	2	0	0	1	2	3	4	1	4	3	3	2	3	2	1	2	1	3	3	1	4	4	1	1	1	4	4	2	3	1	2	2	27	19	""	7
180	2014-10-31 14:58:55	4	1	2	10	1	1	2	3	1	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	10	10	""	2
181	2014-10-31 15:26:24	3	3	1	0	0	1	2	3	4	2	4	3	2	1	3	1	1	1	1	1	2	1	1	2	1	1	1	1	3	1	3	1	1	2	19	10	""	7
182	2014-11-03 14:26:46	2	2	1	NA	NA	0	2	3	3	2	5	4	4	1	3	1	3	1	1	1	1	1	1	4	1	1	1	3	3	1	1	1	2	2	24	10	""	7
183	2014-11-03 15:04:50	1	1	1	20	1	1	2	3	3	2	3	3	2	1	2	1	2	1	1	1	3	3	1	4	1	3	1	4	5	2	3	1	2	2	31	11	""	6
184	2014-11-03 15:23:13	6	3	2	0	0	1	2	3	5	2	4	5	5	1	5	1	4	1	1	1	5	4	1	1	1	5	1	5	5	1	1	1	2	2	40	10	""	10
185	2014-11-03 15:57:50	5	2	2	0	0	1	2	3	4	2	5	3	4	1	4	1	3	2	1	1	4	1	2	3	1	1	1	4	4	1	4	1	2	1	32	12	"To see how i would react, if I would shoot the civilans and how it made me feel."	7
186	2014-11-03 16:24:17	4	1	2	5	1	1	2	3	3	2	4	3	3	4	2	2	1	1	2	2	3	3	3	4	1	1	4	5	4	2	2	1	2	2	28	22	""	6
187	2014-11-04 17:31:37	3	3	1	NA	NA	0	2	3	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	3	4	1	2	1	1	1	19	10	"To see how playing video games affects our emotions."	3
188	2015-11-11 00:00:00	4	1	2	5	1	1	1	3	3	2	1	4	4	1	4	3	3	1	1	5	3	2	2	4	1	2	2	4	3	4	4	1	2	1	33	21	"see emotional response to games"	7
189	2015-11-11 00:00:00	1	1	1	4	1	1	1	3	4	1	2	2	4	2	4	1	1	1	1	1	1	1	1	2	1	1	1	2	3	2	1	1	1	2	18	12	""	6
190	2015-11-11 00:00:00	5	2	2	0	0	1	1	3	1	2	1	1	3	2	2	1	1	1	1	2	2	1	3	3	1	1	2	2	2	1	1	1	1	2	20	15	""	2
191	2015-11-12 00:00:00	2	2	1	0	0	1	1	3	3	2	1	2	2	1	2	2	3	1	1	1	1	1	2	2	1	1	1	2	3	1	2	1	1	2	19	12	""	5
192	2015-11-12 00:00:00	3	3	1	8	1	1	1	3	1	1	1	4	2	3	1	4	3	1	1	5	2	2	1	3	4	1	1	2	4	1	4	1	1	2	24	22	""	5
193	2015-11-12 00:00:00	6	3	2	20	1	1	1	3	4	1	3	3	3	3	3	2	4	1	1	3	3	2	2	4	2	2	2	3	3	1	2	1	1	2	29	18	""	7
194	2015-11-16 00:00:00	1	1	1	5	1	1	1	3	3	2	1	3	4	2	3	1	2	1	1	1	1	1	1	3	1	2	1	2	3	2	3	1	1	2	24	12	""	6
195	2015-11-16 00:00:00	4	1	2	0	0	1	1	3	3	2	3	1	1	3	2	4	3	1	1	2	1	3	2	2	1	1	1	5	5	4	3	1	1	2	26	20	""	4
197	2015-11-17 00:00:00	5	2	2	0	0	1	1	3	4	1	4	2	3	2	2	1	1	3	1	3	2	1	1	4	1	1	1	3	2	2	1	1	1	1	20	16	"to find out how I feel when playing a video game"	6
198	2015-11-17 00:00:00	2	2	1	4	1	1	1	3	4	2	3	4	4	1	3	1	3	1	1	4	2	1	1	2	1	1	1	2	2	3	1	1	2	2	21	15	""	8
199	2015-11-18 00:00:00	6	3	2	10	1	1	1	3	5	2	4	5	5	1	4	1	4	1	1	3	3	2	1	2	1	4	1	4	5	1	1	1	2	2	34	12	""	10
200	2015-11-18 00:00:00	3	3	1	0	0	1	1	3	4	1	3	3	3	1	3	1	1	1	1	1	2	1	1	2	1	1	1	2	4	2	3	1	2	2	22	11	""	7
201	2015-11-18 00:00:00	1	1	1	0	0	1	1	3	2	1	4	1	2	1	3	1	1	2	1	4	1	2	1	3	1	1	1	1	4	1	1	1	1	2	19	14	""	3
202	2015-11-18 00:00:00	4	1	2	5	1	1	1	3	3	1	3	2	2	3	1	2	3	2	2	1	2	3	1	3	1	2	1	2	3	1	4	1	1	2	25	15	""	5
203	2015-11-19 00:00:00	5	2	2	0	0	1	1	3	4	2	5	2	5	2	3	1	2	2	1	3	1	1	1	4	2	1	1	3	3	3	4	1	2	1	27	17	"effects of violent games on players"	6
204	2016-02-08 00:00:00	2	2	1	0	0	1	1	1	3	1	4	3	3	2	4	4	2	3	2	3	3	2	1	3	4	1	3	2	5	4	3	2	1	2	28	28	""	6
205	2016-02-08 00:00:00	3	3	1	5	1	1	1	1	4	1	5	5	4	2	3	1	4	4	2	3	3	3	3	3	1	1	1	2	2	4	2	1	1	2	27	22	""	9
206	2016-02-08 00:00:00	6	3	2	5	1	1	1	1	1	2	4	4	3	2	1	1	3	1	1	1	3	4	3	3	1	1	1	4	3	1	3	1	1	1	28	13	"how much do I like being violent"	5
207	2016-02-08 00:00:00	1	1	1	0	0	1	1	1	4	1	5	3	1	1	4	1	1	2	1	1	2	1	2	3	1	1	1	4	3	1	1	1	1	2	21	12	""	7
